timestamp_ms,ax,ay,az,gx,gy,gz,label,temp_c,steps,bat_mv,bat_soc,hr_bpm,spo2_pct
1779748106395,-12926,11060,-837,-34,-180,35,running,0.00,0,0,0,0,0
1779748106395,-14087,11358,-1330,129,-151,-2,running,0.00,0,0,0,0,0
1779748106396,-15008,11101,-2079,228,-76,-12,running,0.00,0,0,0,0,0
1779748106429,-15983,10610,-2415,251,24,10,running,0.00,0,0,0,0,0
1779748106430,-16806,10258,-2528,188,142,34,running,0.00,0,0,0,0,0
1779748106431,-17276,10030,-2734,79,269,58,running,0.00,0,0,0,0,0
1779748106456,-17515,9900,-2712,-55,394,94,running,0.00,0,0,0,0,0
1779748106457,-17438,9769,-2477,-174,507,120,running,0.00,0,0,0,0,0
1779748106458,-17225,9390,-2415,-271,599,127,running,0.00,0,0,0,0,0
1779748106487,-17042,8976,-2497,-375,662,126,running,0.00,0,0,0,0,0
1779748106490,-17121,8574,-2262,-498,695,128,running,0.00,0,0,0,0,0
1779748106491,-17153,8342,-2094,-632,713,116,running,0.00,0,0,0,0,0
1779748106514,-16647,8624,-1484,-787,719,97,running,0.00,0,0,0,0,0
1779748106514,-15950,9072,-1119,-901,708,88,running,0.00,0,0,0,0,0
1779748106515,-15216,9097,-1433,-956,697,61,running,0.00,0,0,0,0,0
1779748106545,-14482,9293,-1343,-1014,679,25,running,0.00,0,0,0,0,0
1779748106546,-14086,10195,-1547,-1049,663,0,running,0.00,0,0,0,0,0
1779748106546,-13804,10654,-2173,-1068,664,-37,running,0.00,0,0,0,0,0
1779748106577,-13387,10806,-2734,-1065,673,-60,running,0.00,0,0,0,0,0
1779748106578,-12874,11348,-3184,-1037,680,-70,running,0.00,0,0,0,0,0
1779748106579,-12519,12059,-3407,-999,669,-67,running,0.00,0,0,0,0,0
1779748106605,-12112,12226,-3638,-953,656,-42,running,0.00,0,0,0,0,0
1779748106606,-11409,11739,-3427,-901,633,-28,running,0.00,0,0,0,0,0
1779748106606,-10746,11341,-3566,-828,607,-41,running,0.00,0,0,0,0,0
1779748106636,-10037,11195,-4010,-771,571,-66,running,0.00,0,0,0,0,0
1779748106637,-9456,10991,-4290,-721,510,-77,running,0.00,0,0,0,0,0
1779748106637,-9123,10727,-4585,-652,450,-90,running,0.00,0,0,0,0,0
1779748106671,-8845,10605,-5148,-595,409,-110,running,0.00,0,0,0,0,0
1779748106671,-8534,10564,-5642,-563,363,-131,running,0.00,0,0,0,0,0
1779748106672,-8322,10309,-5980,-567,324,-162,running,0.00,0,0,0,0,0
1779748106699,-8066,9688,-5963,-616,287,-223,running,0.00,0,0,0,0,0
1779748106700,-7969,9005,-6191,-738,257,-279,running,0.00,0,0,0,0,0
1779748106700,-8106,8684,-6112,-956,230,-308,running,0.00,0,0,0,0,0
1779748106728,-8545,8787,-5862,-1235,221,-324,running,0.00,0,0,0,0,0
1779748106729,-9091,9785,-5960,-1537,249,-307,running,0.00,0,0,0,0,0
1779748106730,-9634,11538,-5415,-1806,279,-261,running,0.00,0,0,0,0,0
1779748106756,-10271,13196,-4799,-1892,298,-204,running,0.00,0,0,0,0,0
1779748106757,-10665,14703,-4667,-1716,326,-132,running,0.00,0,0,0,0,0
1779748106758,-10794,15599,-4324,-1347,337,-82,running,0.00,0,0,0,0,0
1779748106786,-11059,15276,-3792,-876,331,-64,running,0.00,0,0,0,0,0
