timestamp_ms,ax,ay,az,gx,gy,gz,label,temp_c,steps,bat_mv,bat_soc,hr_bpm,spo2_pct
1781814457622,-4338,-15158,7485,-50,-35,9,walking,0.00,0,4037,81,78,91
1781814457646,-4209,-15028,6836,-106,-3,83,walking,0.00,0,4037,81,78,91
1781814457647,-4384,-14428,6741,-135,-2,84,walking,0.00,0,4037,81,78,91
1781814457676,-4457,-14057,6603,-95,24,34,walking,0.00,0,4037,81,78,91
1781814457706,-4375,-14171,6531,-80,29,20,walking,0.00,0,4037,81,78,91
1781814457712,-4338,-14324,6483,-88,35,3,walking,0.00,0,4037,81,78,91
1781814457738,-4215,-14272,6227,-136,25,15,walking,0.00,0,4037,81,78,91
1781814457738,-4356,-13518,5720,-168,14,47,walking,0.00,0,4037,81,78,91
1781814457768,-4674,-12559,5101,-153,9,48,walking,0.00,0,4037,81,78,91
1781814457795,-5336,-12685,5071,-100,18,18,walking,0.00,0,4037,81,78,91
1781814457796,-5996,-13241,5170,-80,36,-6,walking,0.00,0,4037,81,78,91
1781814457825,-6426,-13680,5352,-89,51,-11,walking,0.00,0,4037,81,78,91
1781814457860,-6664,-13840,5837,-123,37,-36,walking,0.00,0,4037,81,78,91
1781814457861,-6865,-14129,6567,-119,-9,-92,walking,0.00,0,4037,81,78,91
1781814457888,-6922,-14648,7390,-45,-43,-150,walking,0.00,0,4037,81,78,91
1781814457917,-6837,-14922,7651,25,-47,-160,walking,0.00,0,4037,81,78,91
1781814457918,-6712,-15014,7694,162,-16,-148,walking,0.00,0,4037,81,78,91
1781814457945,-6580,-14554,6914,280,32,-167,walking,0.00,0,4037,81,78,91
1781814457946,-6231,-14326,5897,415,89,-197,walking,0.00,0,4037,81,78,91
1781814457976,-6082,-14358,5131,505,149,-225,walking,0.00,0,4037,81,78,91
1781814458010,-5721,-14172,4458,513,196,-283,walking,0.00,0,4037,81,78,91
1781814458012,-5261,-14639,4287,469,225,-319,walking,0.00,0,4037,81,78,91
1781814458039,-5113,-14818,4335,311,237,-325,walking,0.00,0,4037,81,78,91
1781814458067,-4994,-14483,4239,128,231,-320,walking,0.00,0,4037,81,78,91
1781814458068,-5011,-14155,4313,8,214,-289,walking,0.00,0,4037,81,78,91
1781814458096,-5020,-13318,4391,-50,190,-244,walking,0.00,0,4037,81,78,91
1781814458127,-5012,-13458,4789,-57,151,-213,walking,0.00,0,4037,81,78,91
1781814458129,-5215,-13527,4986,-51,123,-171,walking,0.00,0,4037,81,78,91
1781814458155,-5525,-13476,5215,-32,115,-142,walking,0.00,0,4037,81,78,91
