timestamp_ms,ax,ay,az,gx,gy,gz,label,temp_c,steps,bat_mv,bat_soc,hr_bpm,spo2_pct
1779933073513,2843,10258,-12196,58,-40,1,resting,0.00,0,0,0,0,0
1779933073513,2791,10033,-12555,51,-33,13,resting,0.00,0,0,0,0,0
1779933073536,2737,9754,-12613,25,-34,25,resting,0.00,0,0,0,0,0
1779933073537,2508,9806,-12574,-23,-30,31,resting,0.00,0,0,0,0,0
1779933073537,2524,10011,-12449,-56,-26,31,resting,0.00,0,0,0,0,0
1779933073565,2498,10153,-12428,-98,-21,19,resting,0.00,0,0,0,0,0
1779933073566,2583,10387,-12354,-115,-11,5,resting,0.00,0,0,0,0,0
1779933073567,2774,10657,-12287,-100,-3,-5,resting,0.00,0,0,0,0,0
1779933073596,2844,10908,-12206,-48,-2,-15,resting,0.00,0,0,0,0,0
1779933073598,2855,11176,-12150,46,0,-21,resting,0.00,0,0,0,0,0
1779933073599,2886,11309,-12044,160,-6,-28,resting,0.00,0,0,0,0,0
1779933073627,2739,11028,-12192,267,-12,-31,resting,0.00,0,0,0,0,0
1779933073628,2556,10207,-12297,344,-19,-35,resting,0.00,0,0,0,0,0
1779933073629,2654,9448,-12366,326,-34,-39,resting,0.00,0,0,0,0,0
1779933073655,2713,9041,-12442,218,-43,-26,resting,0.00,0,0,0,0,0
1779933073655,2613,9075,-12540,66,-54,-4,resting,0.00,0,0,0,0,0
1779933073656,2360,9589,-12589,-68,-58,17,resting,0.00,0,0,0,0,0
1779933073687,2331,10088,-12506,-153,-55,28,resting,0.00,0,0,0,0,0
1779933073689,2402,10611,-12435,-187,-54,26,resting,0.00,0,0,0,0,0
1779933073689,2682,11173,-12164,-154,-50,19,resting,0.00,0,0,0,0,0
1779933073715,3084,11186,-11965,-53,-45,-3,resting,0.00,0,0,0,0,0
1779933073720,3232,10690,-12187,70,-43,-28,resting,0.00,0,0,0,0,0
1779933073721,3149,10010,-12361,135,-44,-43,resting,0.00,0,0,0,0,0
1779933073749,2954,9737,-12466,132,-28,-43,resting,0.00,0,0,0,0,0
1779933073750,2824,9755,-12561,90,-14,-51,resting,0.00,0,0,0,0,0
1779933073751,2916,9757,-12699,38,4,-78,resting,0.00,0,0,0,0,0
1779933073778,2956,9618,-12975,-40,27,-109,resting,0.00,0,0,0,0,0
1779933073779,2943,9970,-13454,-123,54,-119,resting,0.00,0,0,0,0,0
1779933073780,3102,10511,-13405,-148,86,-134,resting,0.00,0,0,0,0,0
1779933073805,3002,10829,-13308,-115,132,-167,resting,0.00,0,0,0,0,0
1779933073837,2893,11065,-13334,-36,182,-187,resting,0.00,0,0,0,0,0
1779933073865,2879,11104,-13208,58,221,-208,resting,0.00,0,0,0,0,0
1779933073871,2945,10988,-13268,142,257,-226,resting,0.00,0,0,0,0,0
1779933073872,3119,10474,-13268,181,280,-242,resting,0.00,0,0,0,0,0
1779933073873,3197,9963,-12851,177,287,-250,resting,0.00,0,0,0,0,0
1779933073873,3234,9855,-12726,157,289,-241,resting,0.00,0,0,0,0,0
1779933073874,3061,9831,-12696,119,287,-241,resting,0.00,0,0,0,0,0
1779933073880,2753,9850,-13102,86,290,-249,resting,0.00,0,0,0,0,0
