timestamp_ms,ax,ay,az,gx,gy,gz,label,temp_c,steps,bat_mv,bat_soc,hr_bpm,spo2_pct
1779933041904,6609,14788,1188,85,52,-9,resting,0.00,0,0,0,0,0
1779933041904,6790,14116,1531,92,51,-16,resting,0.00,0,0,0,0,0
1779933041904,6709,14108,1607,25,38,-11,resting,0.00,0,0,0,0,0
1779933041929,6452,14508,1481,-47,21,-6,resting,0.00,0,0,0,0,0
1779933041930,6494,15183,1461,-57,31,-11,resting,0.00,0,0,0,0,0
1779933041931,6578,15415,1539,-17,51,6,resting,0.00,0,0,0,0,0
1779933041962,6543,15565,1031,11,85,26,resting,0.00,0,0,0,0,0
1779933041962,6609,15034,903,66,120,17,resting,0.00,0,0,0,0,0
1779933041963,6672,14767,959,91,153,18,resting,0.00,0,0,0,0,0
1779933041988,6809,14767,927,80,172,32,resting,0.00,0,0,0,0,0
1779933041989,6767,14681,840,65,184,48,resting,0.00,0,0,0,0,0
1779933041990,6664,14625,832,53,190,56,resting,0.00,0,0,0,0,0
1779933042018,6525,14755,877,25,190,59,resting,0.00,0,0,0,0,0
1779933042053,6554,15016,885,7,192,64,resting,0.00,0,0,0,0,0
1779933042054,6555,15131,959,9,199,74,resting,0.00,0,0,0,0,0
1779933042055,6459,15285,946,15,212,79,resting,0.00,0,0,0,0,0
1779933042056,6377,15379,985,46,225,78,resting,0.00,0,0,0,0,0
1779933042056,6428,15286,1099,84,236,71,resting,0.00,0,0,0,0,0
1779933042082,6479,14937,958,107,238,59,resting,0.00,0,0,0,0,0
1779933042086,6559,14860,758,116,224,45,resting,0.00,0,0,0,0,0
1779933042086,6545,15147,753,140,211,40,resting,0.00,0,0,0,0,0
1779933042109,6494,15139,649,175,200,16,resting,0.00,0,0,0,0,0
1779933042110,6466,15042,666,201,176,-19,resting,0.00,0,0,0,0,0
1779933042110,6519,15130,654,229,150,-40,resting,0.00,0,0,0,0,0
1779933042138,6570,15199,831,278,129,-64,resting,0.00,0,0,0,0,0
1779933042141,6628,15029,1208,329,116,-88,resting,0.00,0,0,0,0,0
1779933042149,6712,14826,1363,349,106,-102,resting,0.00,0,0,0,0,0
1779933042169,6855,14715,1520,358,101,-113,resting,0.00,0,0,0,0,0
1779933042170,6873,14696,1555,345,92,-114,resting,0.00,0,0,0,0,0
1779933042171,6827,14633,1571,318,85,-111,resting,0.00,0,0,0,0,0
1779933042204,6896,14560,1668,304,89,-105,resting,0.00,0,0,0,0,0
1779933042205,6999,14453,1650,302,90,-97,resting,0.00,0,0,0,0,0
1779933042206,6896,14268,1502,287,87,-90,resting,0.00,0,0,0,0,0
1779933042229,6721,14227,1347,258,84,-81,resting,0.00,0,0,0,0,0
1779933042230,6715,14282,1378,235,84,-76,resting,0.00,0,0,0,0,0
1779933042231,6764,14340,1446,220,90,-64,resting,0.00,0,0,0,0,0
1779933042262,6737,14297,1394,210,99,-54,resting,0.00,0,0,0,0,0
1779933042263,6779,14329,1445,195,101,-41,resting,0.00,0,0,0,0,0
1779933042264,6797,14421,1377,173,99,-31,resting,0.00,0,0,0,0,0
1779933042288,6852,14498,1476,172,96,-29,resting,0.00,0,0,0,0,0
1779933042288,6899,14627,1543,178,92,-18,resting,0.00,0,0,0,0,0
1779933042289,6870,14621,1356,182,93,-13,resting,0.00,0,0,0,0,0
1779933042319,6853,14187,1001,171,98,-14,resting,0.00,0,0,0,0,0
1779933042320,6927,14080,1004,145,93,-3,resting,0.00,0,0,0,0,0
1779933042321,6871,14284,958,104,87,11,resting,0.00,0,0,0,0,0
1779933042349,6710,14353,878,82,81,8,resting,0.00,0,0,0,0,0
1779933042352,6630,14381,930,82,82,4,resting,0.00,0,0,0,0,0
1779933042353,6618,14469,893,79,79,1,resting,0.00,0,0,0,0,0
1779933042379,6558,14557,851,71,71,-14,resting,0.00,0,0,0,0,0
1779933042380,6468,14508,946,62,63,-31,resting,0.00,0,0,0,0,0
1779933042381,6510,14509,1025,48,59,-40,resting,0.00,0,0,0,0,0
1779933042410,6540,14662,1092,34,46,-37,resting,0.00,0,0,0,0,0
1779933042412,6409,14829,1003,29,36,-30,resting,0.00,0,0,0,0,0
1779933042413,6315,14790,934,23,30,-33,resting,0.00,0,0,0,0,0
1779933042439,6350,14843,913,18,26,-34,resting,0.00,0,0,0,0,0
1779933042440,6364,15105,733,13,33,-31,resting,0.00,0,0,0,0,0
1779933042441,6209,15065,697,37,47,-41,resting,0.00,0,0,0,0,0
1779933042468,6182,14719,725,47,64,-48,resting,0.00,0,0,0,0,0
1779933042469,6348,14796,577,45,80,-38,resting,0.00,0,0,0,0,0
1779933042469,6357,14977,621,64,95,-35,resting,0.00,0,0,0,0,0
1779933042502,6267,14716,876,68,109,-44,resting,0.00,0,0,0,0,0
1779933042503,6323,14580,1048,44,107,-47,resting,0.00,0,0,0,0,0
1779933042503,6371,14764,921,23,101,-49,resting,0.00,0,0,0,0,0
1779933042540,6336,14835,872,24,99,-54,resting,0.00,0,0,0,0,0
1779933042541,6300,14671,1015,40,105,-58,resting,0.00,0,0,0,0,0
1779933042542,6377,14428,1035,56,106,-61,resting,0.00,0,0,0,0,0
