timestamp_ms,ax,ay,az,gx,gy,gz,label,temp_c,steps,bat_mv,bat_soc,hr_bpm,spo2_pct
1779747233637,-10444,10848,-5693,450,-9,-1882,running,0.00,0,0,0,0,0
1779747233637,-10641,10964,-5793,452,-108,-1840,running,0.00,0,0,0,0,0
1779747233637,-10463,10759,-5948,501,-164,-1813,running,0.00,0,0,0,0,0
1779747233661,-9626,10026,-6272,570,-199,-1798,running,0.00,0,0,0,0,0
1779747233661,-9516,10928,-6845,609,-253,-1702,running,0.00,0,0,0,0,0
1779747233661,-9912,9617,-6553,632,-445,-1771,running,0.00,0,0,0,0,0
1779747233689,-9437,8818,-6371,545,-495,-1835,running,0.00,0,0,0,0,0
1779747233694,-9833,9393,-6074,453,-518,-1680,running,0.00,0,0,0,0,0
1779747233695,-10135,9424,-5790,395,-547,-1631,running,0.00,0,0,0,0,0
1779747233720,-10285,9594,-5581,411,-517,-1617,running,0.00,0,0,0,0,0
1779747233720,-10383,9734,-5118,437,-514,-1590,running,0.00,0,0,0,0,0
1779747233721,-10789,9105,-4689,460,-537,-1540,running,0.00,0,0,0,0,0
1779747233749,-11461,9166,-5172,484,-507,-1441,running,0.00,0,0,0,0,0
1779747233749,-11966,9315,-6557,400,-522,-1296,running,0.00,0,0,0,0,0
1779747233750,-12548,9109,-7314,114,-607,-1148,running,0.00,0,0,0,0,0
1779747233783,-12810,9576,-8279,-255,-588,-1017,running,0.00,0,0,0,0,0
1779747233810,-12211,9511,-8983,-584,-473,-948,running,0.00,0,0,0,0,0
1779747233814,-11577,8962,-10001,-910,-380,-923,running,0.00,0,0,0,0,0
1779747233815,-11177,8213,-11085,-1241,-321,-872,running,0.00,0,0,0,0,0
1779747233842,-10530,6776,-10654,-1674,-344,-825,running,0.00,0,0,0,0,0
1779747233842,-10549,7902,-9451,-2918,-478,-636,running,0.00,0,0,0,0,0
1779747233843,-10253,9957,-9155,-3408,-498,-454,running,0.00,0,0,0,0,0
1779747233843,-11009,12920,-9238,-3617,-350,-96,running,0.00,0,0,0,0,0
1779747233844,-10717,13769,-9071,-3437,-209,94,running,0.00,0,0,0,0,0
1779747233845,-9483,12772,-9419,-3169,-109,41,running,0.00,0,0,0,0,0
1779747233868,-7831,11363,-10222,-2889,1,0,running,0.00,0,0,0,0,0
1779747233868,-7922,10711,-10065,-2567,81,40,running,0.00,0,0,0,0,0
1779747233898,-7580,10187,-9357,-2167,240,83,running,0.00,0,0,0,0,0
1779747233899,-7880,10477,-9185,-1750,366,199,running,0.00,0,0,0,0,0
1779747233899,-8560,10439,-8728,-1277,469,197,running,0.00,0,0,0,0,0
1779747233928,-8324,9631,-8297,-878,504,41,running,0.00,0,0,0,0,0
1779747233929,-8644,9349,-9036,-514,545,-27,running,0.00,0,0,0,0,0
1779747233930,-9525,10250,-8905,-95,609,-36,running,0.00,0,0,0,0,0
1779747233959,-9735,11460,-7093,197,596,-79,running,0.00,0,0,0,0,0
1779747233959,-9493,10988,-5512,316,504,-127,running,0.00,0,0,0,0,0
1779747233960,-9147,10955,-4581,438,421,-189,running,0.00,0,0,0,0,0
1779747233989,-9567,12330,-3748,684,345,-233,running,0.00,0,0,0,0,0
1779747233992,-10021,13673,-3716,945,277,-273,running,0.00,0,0,0,0,0
1779747233992,-10541,14152,-3707,1192,167,-302,running,0.00,0,0,0,0,0
1779747234019,-10659,14187,-2885,1485,56,-315,running,0.00,0,0,0,0,0
1779747234020,-10411,14371,-2347,1730,-23,-302,running,0.00,0,0,0,0,0
