timestamp_ms,ax,ay,az,gx,gy,gz,temp_c,steps_hw,steps_sw,bat_mv,bat_soc
1776380670665,-5614,-15602,-2046,537,1605,388,26.74,0,78,3846,59
1776380670665,-5552,-15956,-1704,579,1674,382,26.73,0,80,3841,59
1776380670665,-5449,-16115,-1501,576,1766,388,26.73,0,80,3841,59
1776380670665,-5373,-16013,-1772,548,1862,390,26.73,0,80,3841,59
1776380670717,-5263,-15699,-2256,549,1913,379,26.73,0,80,3841,59
1776380670717,-5137,-15548,-2557,556,1875,353,26.73,0,80,3841,59
1776380670717,-5007,-15189,-2936,562,1760,341,26.73,0,80,3841,59
1776380670762,-5039,-14904,-3131,588,1611,350,26.73,0,80,3841,59
1776380670762,-5329,-14806,-3003,635,1493,361,26.73,0,80,3841,59
1776380670804,-5881,-14656,-3082,666,1422,333,26.73,0,80,3841,59
1776380670804,-6408,-14602,-3042,695,1369,254,26.73,0,80,3841,59
1776380670847,-6623,-14581,-2535,707,1331,188,26.73,0,80,3841,59
1776380670889,-6586,-14571,-2070,650,1356,153,26.73,0,80,3841,59
1776380670889,-6609,-14722,-2244,555,1397,119,26.73,0,80,3841,59
1776380670889,-6726,-14917,-2776,505,1368,69,26.73,0,80,3841,59
1776380670889,-6858,-15098,-2886,520,1225,39,26.73,0,80,3841,59
1776380670931,-6941,-15253,-2427,523,1065,57,26.73,0,80,3841,59
1776380670931,-7000,-15484,-2057,472,954,99,26.73,0,80,3841,59
1776380670973,-7338,-15455,-2278,419,824,141,26.73,0,80,3841,59
1776380670973,-7919,-14853,-2824,439,656,148,26.73,0,80,3841,59
1776380671013,-8389,-14549,-2583,514,472,142,26.73,0,80,3841,59
1776380671013,-8525,-14390,-1708,535,377,146,26.73,0,80,3841,59
1776380671055,-8829,-14455,-1356,464,423,143,26.73,0,80,3841,59
1776380671055,-9380,-14309,-1734,381,491,75,26.73,0,80,3841,59
1776380671055,-9645,-14028,-1949,357,486,-30,26.73,0,80,3841,59
1776380671098,-9253,-14170,-1679,369,466,-96,26.73,0,80,3841,59
1776380671098,-9033,-14078,-1386,340,516,-87,26.73,0,80,3841,59
1776380671145,-9155,-14151,-1861,270,586,-66,26.73,0,80,3841,59
1776380671145,-9337,-14082,-2410,231,578,-57,26.73,0,80,3841,59
1776380671187,-9241,-14077,-2317,219,553,-47,26.73,0,80,3841,59
1776380671188,-9039,-14522,-2071,180,575,0,26.73,0,80,3841,59
1776380671290,-8790,-14776,-1895,99,638,71,26.73,0,80,3841,59
1776380671290,-8601,-14953,-1982,30,676,132,26.73,0,80,3841,59
1776380671290,-8483,-14956,-2161,0,628,156,26.73,0,80,3841,59
1776380671290,-8171,-14920,-1932,-38,523,160,26.73,0,80,3841,59
1776380671290,-8076,-14948,-1839,-81,468,181,26.73,0,80,3841,59
1776380671340,-8112,-14826,-1907,-112,409,205,26.73,0,80,3841,59
1776380671340,-8086,-14697,-1960,-122,313,233,26.73,0,80,3841,59
1776380671385,-7943,-14268,-1763,-142,248,281,26.73,0,80,3841,59
1776380671385,-8654,-13807,-2418,-177,195,304,26.73,0,80,3841,59
1776380671466,-8849,-13402,-2810,-142,81,256,26.73,0,80,3841,59
1776380671466,-8592,-13189,-2499,-116,-4,207,26.73,0,80,3841,59
1776380671466,-8396,-13001,-2293,-158,-47,175,26.73,0,80,3841,59
1776380671466,-8388,-12943,-2650,-212,3,135,26.73,0,80,3841,59
1776380671466,-8051,-12816,-3248,-235,-38,32,26.73,0,80,3841,59
1776380671507,-7232,-12660,-3675,-267,-132,-106,26.73,0,80,3841,59
1776380671507,-6504,-12827,-4019,-323,-276,-246,26.73,0,80,3841,59
1776380671548,-6279,-12743,-4685,-369,-508,-360,26.73,0,80,3841,59
1776380671548,-6020,-12415,-4968,-310,-805,-415,26.73,0,80,3841,59
1776380671590,-6065,-12463,-4546,-233,-991,-446,26.73,0,80,3841,59
1776380671590,-6527,-13259,-4660,-194,-1103,-524,26.73,0,80,3841,59
1776380671590,-7299,-14572,-5119,-146,-1209,-653,26.73,0,80,3841,59
1776380671634,-8382,-15725,-4563,-116,-1303,-770,26.73,0,80,3841,59
1776380671634,-8965,-16707,-4050,-176,-1339,-825,26.73,0,80,3841,59
1776380671678,-9159,-17993,-3820,-242,-1284,-722,26.73,0,80,3841,59
1776380671678,-9915,-19538,-3155,-224,-1195,-442,26.73,0,80,3841,59
1776380671725,-11015,-20234,-2140,-226,-1009,-59,26.73,0,80,3841,59
1776380671725,-11628,-20182,-1486,-349,-684,321,26.73,0,80,3841,59
1776380671772,-11984,-19946,-1311,-579,-309,660,26.73,0,80,3841,59
1776380671772,-12342,-19008,-1817,-832,-78,896,26.73,0,80,3841,59
1776380671772,-11388,-17640,-2249,-972,-49,1022,26.73,0,80,3841,59
1776380671814,-9672,-15897,-2216,-946,-134,1159,26.73,0,80,3841,59
1776380671814,-8691,-14849,-1289,-820,-171,1357,26.73,0,80,3841,59
1776380671859,-8493,-13624,-685,-712,-109,1498,26.73,0,80,3841,59
1776380671859,-8535,-12302,-489,-623,-18,1517,26.73,0,80,3841,59
1776380671901,-8444,-11115,-881,-522,119,1402,26.73,0,80,3841,59
1776380671902,-7976,-10064,-1561,-370,150,1162,26.73,0,80,3841,59
1776380671944,-6952,-9331,-2077,-156,94,878,26.73,0,80,3841,59
1776380671944,-5537,-9055,-2138,93,-3,627,26.73,0,80,3841,59
1776380671944,-4325,-8593,-1930,351,-133,419,26.73,0,80,3841,59
1776380671986,-3742,-8203,-1886,605,-256,214,26.73,0,80,3841,59
1776380671986,-4240,-8552,-1628,808,-249,-37,26.73,0,80,3841,59
1776380672031,-4992,-10137,-1362,917,-169,-369,26.73,0,80,3841,59
1776380672031,-5403,-10772,-1268,975,-130,-749,26.73,0,80,3841,59
1776380672071,-5460,-11509,-1378,1048,-41,-1105,26.73,0,80,3841,59
1776380672071,-5360,-12400,-993,1146,112,-1378,26.73,0,80,3841,59
1776380672113,-5046,-13773,-833,1165,229,-1577,26.73,0,80,3841,59
1776380672134,-4819,-15178,-1408,1235,174,-1734,26.73,0,80,3841,59
1776380672153,-4508,-15936,-594,1437,78,-1811,26.73,0,80,3841,59
1776380672195,-4596,-16279,1372,1600,60,-1853,26.73,0,80,3841,59
1776380672195,-4826,-17437,2948,1653,277,-1951,26.73,0,80,3841,59
1776380672236,-4878,-19310,4003,1643,720,-2125,26.73,0,80,3841,59
1776380672236,-4843,-20943,4253,1638,1139,-2387,26.73,0,80,3841,59
1776380672278,-4419,-21602,4106,1655,1511,-2604,26.73,0,80,3841,59
1776380672278,-4290,-21768,4523,1721,1778,-2633,26.73,0,80,3841,59
1776380672322,-3592,-21150,5542,1630,2183,-2433,26.73,0,80,3841,59
1776380672322,-2299,-22038,5681,1219,2594,-2081,26.73,0,80,3841,59
