timestamp_ms,ecg_raw
1777324650879,1841
1777324650881,1951
1777324650883,2030
1777324650885,2061
1777324650887,2035
1777324650889,1967
1777324650891,1839
1777324650893,1735
1777324650895,1692
1777324650897,1723
1777324650879,1848
1777324650881,2060
1777324650883,2015
1777324650885,2121
1777324650887,2045
1777324650889,1978
1777324650891,1870
1777324650893,1761
1777324650895,1725
1777324650897,1789
1777324650911,1900
1777324650913,1991
1777324650915,2039
1777324650917,2048
1777324650919,2017
1777324650921,1943
1777324650923,1813
1777324650925,1691
1777324650927,1646
1777324650929,1695
1777324650912,2015
1777324650914,1914
1777324650916,2031
1777324650918,2128
1777324650920,2030
1777324650922,1975
1777324650924,1870
1777324650926,1787
1777324650928,1764
1777324650930,1803
1777324650977,1875
1777324650979,1934
1777324650981,1966
1777324650983,1980
1777324650985,1966
1777324650987,1907
1777324650989,1799
1777324650991,1704
1777324650993,1676
1777324650995,1727
1777324650977,1831
1777324650979,2130
1777324650981,1992
1777324650983,2042
1777324650985,2090
1777324650987,2012
1777324650989,1922
1777324650991,1822
1777324650993,1777
1777324650995,1819
1777324650977,1907
1777324650979,1977
1777324650981,2026
1777324650983,2030
1777324650985,2005
1777324650987,1948
1777324650989,1849
1777324650991,1737
1777324650993,1685
1777324650995,1726
1777324651010,2048
1777324651012,1924
1777324651014,2030
1777324651016,2025
1777324651018,2104
1777324651020,1945
1777324651022,1846
1777324651024,1761
1777324651026,1725
1777324651028,1742
1777324651010,1827
1777324651012,1932
1777324651014,1996
1777324651016,2008
1777324651018,1976
1777324651020,1907
1777324651022,1803
1777324651024,1706
1777324651026,1671
1777324651028,1717
1777324651043,1857
1777324651045,2064
1777324651047,1992
1777324651049,2081
1777324651051,1989
1777324651053,1947
1777324651055,1850
1777324651057,1755
1777324651059,1723
1777324651061,1770
1777324651043,1877
1777324651045,1966
1777324651047,1995
1777324651049,1990
1777324651051,1971
1777324651053,1919
1777324651055,1800
1777324651057,1688
1777324651059,1666
1777324651061,1740
1777324651109,2072
1777324651111,1953
1777324651113,2062
1777324651115,2148
1777324651117,2084
1777324651119,2042
1777324651121,1957
1777324651123,1856
1777324651125,1762
1777324651127,1725
1777324651109,1776
1777324651111,1866
1777324651113,1940
1777324651115,1979
1777324651117,1982
1777324651119,1954
1777324651121,1884
1777324651123,1810
1777324651125,1788
1777324651127,1834
1777324651142,1963
1777324651144,2162
1777324651146,2079
1777324651148,2146
1777324651150,2039
1777324651152,1985
1777324651154,1913
1777324651156,1848
1777324651158,1832
1777324651160,1894
1777324651142,2015
1777324651144,2121
1777324651146,2186
1777324651148,2215
1777324651150,2177
1777324651152,2084
1777324651154,1970
1777324651156,1831
1777324651158,1742
1777324651160,1785
1777324651142,2150
1777324651144,2073
1777324651146,2209
1777324651148,2303
1777324651150,2179
1777324651152,2104
1777324651154,1982
1777324651156,1864
1777324651158,1805
1777324651160,1840
1777324651175,1951
1777324651177,2070
1777324651179,2125
1777324651181,2132
1777324651183,2092
1777324651185,2033
1777324651187,1952
1777324651189,1876
1777324651191,1861
1777324651193,1911
1777324651175,2041
1777324651177,2268
1777324651179,2194
1777324651181,2269
1777324651183,2138
1777324651185,2085
1777324651187,2002
1777324651189,1928
1777324651191,1899
1777324651193,1903
1777324651240,1977
1777324651242,2100
1777324651244,2203
1777324651246,2245
1777324651248,2216
1777324651250,2149
1777324651252,2022
1777324651254,1883
1777324651256,1808
1777324651258,1836
1777324651240,2122
1777324651242,2000
1777324651244,2086
1777324651246,2160
1777324651248,2054
1777324651250,2011
1777324651252,1937
1777324651254,1850
1777324651256,1802
1777324651258,1818
1777324651273,1893
1777324651275,1996
1777324651277,2073
1777324651279,2100
1777324651281,2060
1777324651283,1987
1777324651285,1877
1777324651287,1765
1777324651289,1733
1777324651291,1785
1777324651273,1923
1777324651275,2138
1777324651277,2078
1777324651279,2176
1777324651281,2068
1777324651283,1979
1777324651285,1892
1777324651287,1819
1777324651289,1822
1777324651291,1905
1777324651338,2032
1777324651340,2115
1777324651342,2140
1777324651344,2139
1777324651346,2092
1777324651348,2006
1777324651350,1900
1777324651352,1808
1777324651354,1788
1777324651356,1841
1777324651338,2081
1777324651340,2102
1777324651342,2162
1777324651344,2263
1777324651346,2181
1777324651348,2175
1777324651350,2147
1777324651352,2132
1777324651354,2185
1777324651356,2328
1777324651338,2545
1777324651340,2782
1777324651342,2986
1777324651344,3178
1777324651346,3342
1777324651348,3433
1777324651350,3454
1777324651352,3432
1777324651354,3396
1777324651356,3359
1777324651370,3331
1777324651372,3303
1777324651374,2925
1777324651376,2563
1777324651378,2260
1777324651380,1771
1777324651382,1420
1777324651384,1192
1777324651386,1146
1777324651388,1238
1777324651370,1375
1777324651372,1501
1777324651374,1595
1777324651376,1676
1777324651378,1726
1777324651380,1716
1777324651382,1654
1777324651384,1590
1777324651386,1584
1777324651388,1659
1777324651403,1993
1777324651405,1947
1777324651407,2134
1777324651409,2267
1777324651411,2205
1777324651413,2161
1777324651415,2099
1777324651417,2025
1777324651419,1966
1777324651421,1974
1777324651403,2048
1777324651405,2132
1777324651407,2162
1777324651409,2176
1777324651411,2183
1777324651413,2140
1777324651415,2040
1777324651417,1933
1777324651419,1901
1777324651421,1961
1777324651470,2127
1777324651472,2371
1777324651474,2315
1777324651476,2411
1777324651478,2309
1777324651480,2254
1777324651482,2154
1777324651484,2055
1777324651486,2044
1777324651488,2097
1777324651470,2188
1777324651472,2275
1777324651474,2334
1777324651476,2368
1777324651478,2383
1777324651480,2368
1777324651482,2307
1777324651484,2207
1777324651486,2142
1777324651488,2130
1777324651503,2375
1777324651505,2260
1777324651507,2367
