timestamp_ms,ecg_raw
1777324311585,2741
1777324311587,2655
1777324311589,2535
1777324311591,2441
1777324311593,2434
1777324311595,2511
1777324311597,2612
1777324311599,2706
1777324311601,2766
1777324311603,2779
1777324311585,2882
1777324311587,2706
1777324311589,2583
1777324311591,2567
1777324311593,2466
1777324311595,2532
1777324311597,2648
1777324311599,2754
1777324311601,2832
1777324311603,2878
1777324311585,2874
1777324311587,2808
1777324311589,2696
1777324311591,2587
1777324311593,2507
1777324311595,2521
1777324311597,2603
1777324311599,2712
1777324311601,2807
1777324311603,2856
1777324311616,2933
1777324311618,2852
1777324311620,2657
1777324311622,2544
1777324311624,2558
1777324311626,2533
1777324311628,2655
1777324311630,2775
1777324311632,2836
1777324311634,2849
1777324311616,2816
1777324311618,2714
1777324311620,2570
1777324311622,2456
1777324311624,2427
1777324311626,2484
1777324311628,2571
1777324311630,2648
1777324311632,2682
1777324311634,2676
1777324311647,2832
1777324311649,2561
1777324311651,2478
1777324311653,2439
1777324311655,2319
1777324311657,2370
1777324311659,2469
1777324311661,2576
1777324311663,2654
1777324311665,2680
1777324311647,2663
1777324311649,2605
1777324311651,2503
1777324311653,2362
1777324311655,2260
1777324311657,2274
1777324311659,2367
1777324311661,2486
1777324311663,2591
1777324311665,2634
1777324311743,2702
1777324311745,2634
1777324311747,2440
1777324311749,2352
1777324311751,2160
1777324311753,2149
1777324311755,2212
1777324311757,2325
1777324311759,2423
1777324311761,2484
1777324311743,2507
1777324311745,2469
1777324311747,2370
1777324311749,2258
1777324311751,2226
1777324311753,2307
1777324311755,2422
1777324311757,2505
1777324311759,2539
1777324311761,2544
1777324311744,2708
1777324311746,2430
1777324311748,2337
1777324311750,2297
1777324311752,2175
1777324311754,2228
1777324311756,2318
1777324311758,2412
1777324311760,2473
1777324311762,2495
1777324311744,2464
1777324311746,2386
1777324311748,2268
1777324311750,2151
1777324311752,2089
1777324311754,2114
1777324311756,2207
1777324311758,2312
1777324311760,2389
1777324311762,2440
1777324311744,2525
1777324311746,2439
1777324311748,2213
1777324311750,2135
1777324311752,1984
1777324311754,2029
1777324311756,2153
1777324311758,2283
1777324311760,2364
1777324311762,2387
1777324311806,2363
1777324311808,2287
1777324311810,2177
1777324311812,2077
1777324311814,2035
1777324311816,2094
1777324311818,2211
1777324311820,2311
1777324311822,2364
1777324311824,2385
1777324311806,2565
1777324311808,2292
1777324311810,2212
1777324311812,2197
1777324311814,2113
1777324311816,2201
1777324311818,2327
1777324311820,2432
1777324311822,2459
1777324311824,2435
1777324311838,2382
1777324311840,2301
1777324311842,2174
1777324311844,2040
1777324311846,1976
1777324311848,2007
1777324311850,2114
1777324311852,2230
1777324311854,2319
1777324311856,2361
1777324311838,2454
1777324311840,2401
1777324311842,2202
1777324311844,2154
1777324311846,2014
1777324311848,2066
1777324311850,2180
1777324311852,2286
1777324311854,2385
1777324311856,2442
1777324311870,2434
1777324311872,2351
1777324311874,2203
1777324311876,2094
1777324311878,2059
1777324311880,2114
1777324311882,2204
1777324311884,2300
1777324311886,2373
1777324311888,2420
1777324311870,2630
1777324311872,2401
1777324311874,2355
1777324311876,2345
1777324311878,2201
1777324311880,2210
1777324311882,2285
1777324311884,2390
1777324311886,2483
1777324311888,2533
1777324311934,2534
1777324311936,2489
1777324311938,2388
1777324311940,2279
1777324311942,2213
1777324311944,2252
1777324311946,2362
1777324311948,2476
1777324311950,2557
1777324311952,2599
1777324311934,2578
1777324311936,2677
1777324311938,2384
1777324311940,2304
1777324311942,2198
1777324311944,2222
1777324311946,2325
1777324311948,2455
1777324311950,2562
1777324311952,2593
1777324311934,2570
1777324311936,2499
1777324311938,2391
1777324311940,2300
1777324311942,2266
1777324311944,2312
1777324311946,2399
1777324311948,2495
1777324311950,2560
1777324311952,2584
1777324311965,2763
1777324311967,2511
1777324311969,2467
1777324311971,2348
1777324311973,2323
1777324311975,2270
1777324311977,2392
1777324311979,2545
1777324311981,2644
1777324311983,2664
1777324311965,2634
1777324311967,2554
1777324311969,2412
1777324311971,2314
1777324311973,2232
1777324311975,2291
1777324311977,2410
1777324311979,2533
1777324311981,2636
1777324311983,2679
1777324312029,2731
1777324312031,2623
1777324312033,2388
1777324312035,2331
1777324312037,2226
1777324312039,2337
1777324312041,2540
1777324312043,2760
1777324312045,2942
1777324312047,3088
1777324312029,3216
1777324312031,3309
1777324312033,3353
1777324312035,3414
1777324312037,3552
1777324312039,3795
1777324312041,4061
1777324312043,4095
1777324312045,4095
1777324312047,4095
1777324312092,4050
1777324312094,3614
1777324312096,3149
1777324312098,2738
1777324312100,2278
1777324312102,2088
1777324312104,2043
1777324312106,2066
1777324312108,2076
1777324312110,2051
1777324312092,2005
1777324312094,1941
1777324312096,1849
1777324312098,1784
1777324312100,1800
1777324312102,1923
1777324312104,2111
1777324312106,2292
1777324312108,2442
1777324312110,2546
1777324312122,2688
1777324312124,2671
1777324312126,2488
1777324312128,2440
1777324312130,2290
1777324312132,2321
1777324312134,2419
1777324312136,2525
1777324312138,2617
1777324312140,2678
1777324312122,2669
1777324312124,2589
1777324312126,2456
1777324312128,2327
1777324312130,2271
1777324312132,2315
1777324312134,2432
1777324312136,2567
1777324312138,2678
1777324312140,2702
1777324312122,2845
1777324312124,2561
1777324312126,2478
1777324312128,2414
1777324312130,2255
1777324312132,2307
1777324312134,2444
1777324312136,2569
1777324312138,2643
1777324312140,2675
1777324312152,2688
1777324312154,2644
1777324312156,2507
1777324312158,2356
1777324312160,2278
1777324312162,2312
1777324312164,2430
1777324312166,2561
