timestamp_ms,ecg_raw
1777519123098,123
1777519123100,94
1777519123102,69
1777519123104,69
1777519123106,74
1777519123108,88
1777519123110,101
1777519123112,115
1777519123114,121
1777519123116,106
1777519123098,122
1777519123100,95
1777519123102,71
1777519123104,70
1777519123106,75
1777519123108,92
1777519123110,107
1777519123112,122
1777519123114,121
1777519123116,104
1777519123098,122
1777519123100,95
1777519123102,71
1777519123104,68
1777519123106,81
1777519123108,116
1777519123110,143
1777519123112,140
1777519123114,129
1777519123116,97
1777519123098,124
1777519123100,93
1777519123102,70
1777519123104,67
1777519123106,73
1777519123108,89
1777519123110,103
1777519123112,117
1777519123114,118
1777519123116,111
1777519123098,121
1777519123100,92
1777519123102,69
1777519123104,64
1777519123106,72
1777519123108,89
1777519123110,105
1777519123112,121
1777519123114,120
1777519123116,104
1777519123098,120
1777519123100,88
1777519123102,63
1777519123104,67
1777519123106,73
1777519123108,89
1777519123110,104
1777519123112,120
1777519123114,119
1777519123116,107
1777519123098,121
1777519123100,91
1777519123102,69
1777519123104,68
1777519123106,76
1777519123108,92
1777519123110,107
1777519123112,123
1777519123114,122
1777519123116,109
1777519123098,124
1777519123100,94
1777519123102,67
1777519123104,65
1777519123106,64
1777519123108,127
1777519123110,139
1777519123112,140
1777519123114,130
1777519123116,120
1777519123098,122
1777519123100,95
1777519123102,69
1777519123104,68
1777519123106,75
1777519123108,92
1777519123110,107
1777519123112,123
1777519123114,120
1777519123116,115
1777519123249,121
1777519123251,93
1777519123253,70
1777519123255,69
1777519123257,75
1777519123259,89
1777519123261,101
1777519123263,113
1777519123265,121
1777519123267,115
1777519123249,121
1777519123251,91
1777519123253,69
1777519123255,69
1777519123257,75
1777519123259,94
1777519123261,108
1777519123263,124
1777519123265,124
1777519123267,116
1777519123249,123
1777519123251,93
1777519123253,70
1777519123255,64
1777519123257,70
1777519123259,90
1777519123261,108
1777519123263,121
1777519123265,121
1777519123267,101
1777519123249,123
1777519123251,95
1777519123253,71
1777519123255,70
1777519123257,70
1777519123259,143
1777519123261,143
1777519123263,142
1777519123265,133
1777519123267,123
1777519123249,123
1777519123251,92
1777519123253,69
1777519123255,66
1777519123257,76
1777519123259,96
1777519123261,111
1777519123263,125
1777519123265,124
1777519123267,114
1777519123249,120
1777519123251,88
1777519123253,65
1777519123255,69
1777519123257,76
1777519123259,92
1777519123261,108
1777519123263,124
1777519123265,123
1777519123267,115
1777519123249,124
1777519123251,94
1777519123253,70
1777519123255,70
1777519123257,77
1777519123259,95
1777519123261,110
1777519123263,125
1777519123265,124
1777519123267,106
1777519123249,123
1777519123251,93
1777519123253,67
1777519123255,67
1777519123257,69
1777519123259,95
1777519123261,109
1777519123263,124
1777519123265,122
1777519123267,121
1777519123249,121
1777519123251,93
1777519123253,70
1777519123255,70
1777519123257,78
1777519123259,141
1777519123261,139
1777519123263,142
1777519123265,133
1777519123267,123
1777519123493,123
1777519123495,92
1777519123497,68
1777519123499,67
1777519123501,74
1777519123503,92
1777519123505,105
1777519123507,116
1777519123509,122
1777519123511,115
1777519123493,117
1777519123495,88
1777519123497,67
1777519123499,67
1777519123501,76
1777519123503,95
1777519123505,110
1777519123507,125
1777519123509,123
1777519123511,107
1777519123493,122
1777519123495,83
1777519123497,57
1777519123499,55
1777519123501,63
1777519123503,85
1777519123505,102
1777519123507,109
1777519123509,104
1777519123511,77
1777519123493,111
1777519123495,78
1777519123497,55
1777519123499,56
1777519123501,63
1777519123503,84
1777519123505,101
1777519123507,111
1777519123509,106
1777519123511,91
1777519123493,108
1777519123495,78
1777519123497,57
1777519123499,57
1777519123501,61
1777519123503,136
1777519123505,138
1777519123507,132
1777519123509,117
1777519123511,110
1777519123493,106
1777519123495,73
1777519123497,52
1777519123499,57
1777519123501,62
1777519123503,81
1777519123505,97
1777519123507,108
1777519123509,105
1777519123511,87
1777519123493,106
1777519123495,75
1777519123497,51
1777519123499,55
1777519123501,64
1777519123503,85
1777519123505,100
1777519123507,110
1777519123509,106
1777519123511,101
1777519123493,105
1777519123495,74
1777519123497,54
1777519123499,54
1777519123501,56
1777519123503,84
1777519123505,101
1777519123507,110
1777519123509,105
1777519123511,87
1777519123493,106
1777519123495,75
1777519123497,54
1777519123499,55
1777519123501,64
1777519123503,84
1777519123505,96
1777519123507,106
1777519123509,101
1777519123511,99
1777519123493,105
1777519123495,73
1777519123497,53
1777519123499,55
1777519123501,62
1777519123503,134
1777519123505,125
1777519123507,117
1777519123509,111
1777519123511,95
1777519123493,102
1777519123495,74
1777519123497,55
1777519123499,56
1777519123501,62
1777519123503,83
1777519123505,98
1777519123507,108
1777519123509,103
1777519123511,99
1777519123746,105
1777519123748,72
1777519123750,52
1777519123752,53
1777519123754,63
1777519123756,85
1777519123758,99
1777519123760,108
1777519123762,102
1777519123764,87
1777519123746,111
1777519123748,76
1777519123750,54
1777519123752,55
1777519123754,62
1777519123756,84
1777519123758,99
1777519123760,109
1777519123762,104
1777519123764,90
1777519123746,106
1777519123748,75
1777519123750,53
1777519123752,56
1777519123754,63
1777519123756,86
1777519123758,100
1777519123760,110
1777519123762,105
1777519123764,90
1777519123746,105
1777519123748,72
1777519123750,53
1777519123752,58
1777519123754,69
1777519123756,119
1777519123758,137
1777519123760,132
1777519123762,115
1777519123764,107
1777519123746,107
1777519123748,75
1777519123750,52
1777519123752,56
1777519123754,64
1777519123756,85
1777519123758,99
1777519123760,109
1777519123762,105
1777519123764,89
1777519123746,105
1777519123748,74
1777519123750,51
1777519123752,49
1777519123754,53
1777519123756,81
1777519123758,97
1777519123760,108
1777519123762,101
1777519123764,100
1777519123746,104
1777519123748,72
1777519123750,51
1777519123752,55
1777519123754,62
1777519123756,80
1777519123758,94
1777519123760,103
1777519123762,95
1777519123764,94
1777519123747,99
1777519123749,65
1777519123751,45
1777519123753,50
1777519123755,57
1777519123757,76
1777519123759,87
1777519123761,98
1777519123763,94
1777519123765,94
1777519123747,98
1777519123749,70
1777519123751,51
1777519123753,53
1777519123755,60
1777519123757,133
1777519123759,126
1777519123761,123
1777519123763,109
1777519123765,92
1777519123747,103
1777519123749,71
1777519123751,50
1777519123753,53
1777519123755,63
1777519123757,83
1777519123759,97
1777519123761,106
1777519123763,97
1777519123765,89
1777519123747,108
1777519123749,74
1777519123751,55
1777519123753,55
1777519123755,63
1777519123757,83
1777519123759,96
1777519123761,108
1777519123763,103
1777519123765,100
1777519123747,105
1777519123749,74
1777519123751,54
1777519123753,56
1777519123755,64
1777519123757,87
1777519123759,98
1777519123761,109
1777519123763,104
1777519123765,89
1777519123747,106
1777519123749,72
1777519123751,52
1777519123753,57
1777519123755,66
1777519123757,82
1777519123759,97
1777519123761,107
1777519123763,102
1777519123765,100
1777519123747,107
1777519123749,74
1777519123751,57
1777519123753,56
1777519123755,69
1777519123757,137
1777519123759,135
1777519123761,126
1777519123763,111
1777519123765,97
