timestamp_ms,ax,ay,az,gx,gy,gz,temp_c,steps_hw,steps_sw,bat_mv,bat_soc
1776381182648,3058,2898,-17025,-40,-118,58,26.31,172,303,3842,58
1776381182648,3131,3181,-17589,33,207,239,26.31,172,303,3842,58
1776381182691,3059,3035,-17697,186,334,342,26.31,172,303,3842,58
1776381182691,3252,2968,-17799,243,372,355,26.31,172,303,3842,58
1776381182772,3546,2721,-18310,181,346,279,26.31,172,303,3842,58
1776381182772,4001,2406,-19077,103,318,165,26.31,172,303,3842,58
1776381182813,4803,2113,-20043,82,362,75,26.31,172,303,3842,58
1776381182813,5793,2003,-20879,111,477,19,26.31,172,303,3842,58
1776381182855,6197,1711,-21104,127,676,-22,26.31,172,303,3842,58
1776381182855,5874,1850,-20320,128,982,-208,26.31,172,303,3842,58
1776381182855,4954,2257,-19744,51,871,-483,26.31,172,303,3842,58
1776381182897,4193,2374,-18597,-113,523,-862,26.31,172,303,3842,58
1776381182897,4630,1759,-17508,-391,197,-1172,26.31,172,303,3842,58
1776381182938,5522,1267,-17273,-652,-84,-1296,26.31,172,303,3842,58
1776381182938,6176,877,-16946,-724,-318,-1251,26.31,172,303,3842,58
1776381182978,7268,-60,-17700,-706,-552,-1067,26.31,172,303,3842,58
1776381182978,6980,-930,-18373,-621,-888,-925,26.31,172,303,3842,58
1776381183020,6432,-2048,-18343,-593,-1031,-925,26.31,172,303,3842,58
1776381183020,5651,-2980,-17571,-728,-916,-1012,26.31,172,303,3842,58
1776381183020,3874,-3127,-16380,-981,-716,-1079,26.3,172,304,3838,58
1776381183062,2857,-2973,-15205,-1258,-663,-1069,26.3,172,304,3838,58
1776381183062,2687,-2868,-14509,-1411,-791,-892,26.3,172,304,3838,58
1776381183102,2840,-3262,-14487,-1372,-978,-580,26.3,172,304,3838,58
1776381183102,2507,-4066,-15012,-1153,-1024,-236,26.3,172,304,3838,58
1776381183143,1831,-5170,-15271,-902,-848,25,26.3,172,304,3838,58
1776381183143,397,-5619,-14424,-764,-377,124,26.3,172,304,3838,58
1776381183186,-746,-5551,-13203,-810,142,73,26.3,172,304,3838,58
1776381183186,-806,-5473,-12702,-1007,365,24,26.3,172,304,3838,58
1776381183186,-222,-5380,-13034,-1120,234,54,26.3,172,304,3838,58
1776381183266,57,-5410,-13328,-999,95,129,26.3,172,304,3838,58
1776381183266,627,-5963,-13674,-781,120,299,26.3,172,304,3838,58
1776381183307,1448,-7035,-14573,-554,193,553,26.3,172,304,3838,58
1776381183307,1453,-7954,-15705,-313,321,792,26.3,172,304,3838,58
1776381183389,1076,-8796,-17012,-84,463,922,26.3,172,304,3838,58
1776381183389,268,-8787,-18051,117,441,905,26.3,172,304,3838,58
1776381183389,36,-8788,-18923,256,227,766,26.3,172,304,3838,58
1776381183389,-100,-8074,-18993,389,18,582,26.3,172,304,3838,58
1776381183389,374,-7123,-18162,540,74,416,26.3,172,304,3838,58
1776381183471,1204,-6011,-17025,716,313,364,26.3,172,304,3838,58
1776381183471,1298,-4299,-16323,896,420,395,26.3,172,304,3838,58
1776381183471,662,-3455,-16324,1051,136,448,26.3,172,304,3838,58
1776381183471,591,-2890,-16478,1124,-355,550,26.3,172,304,3838,58
1776381183511,1059,-2675,-16968,1132,-663,695,26.3,172,304,3838,58
1776381183511,2225,-3344,-17648,1116,-743,938,26.3,172,304,3838,58
1776381183552,2589,-3800,-18290,1205,-603,1223,26.3,172,304,3838,58
1776381183552,2401,-3819,-18249,1394,-380,1361,26.3,172,304,3838,58
1776381183552,2586,-3565,-17599,1419,-160,1322,26.3,172,304,3838,58
1776381183592,2405,-2818,-16533,1225,85,1176,26.3,172,304,3838,58
1776381183592,1793,-1965,-15824,980,219,985,26.3,172,304,3838,58
1776381183671,2091,-1349,-14769,812,206,830,26.3,172,304,3838,58
1776381183671,2832,-1048,-14123,698,148,807,26.3,172,304,3838,58
