timestamp_ms,ax,ay,az,gx,gy,gz,temp_c,steps_hw,steps_sw,bat_mv,bat_soc
1776381113928,3471,-13718,-7546,8,-2,-110,26.59,130,230,3831,58
1776381113928,3088,-14180,-7092,-60,-190,-126,26.59,130,230,3831,58
1776381113928,2812,-14880,-6890,-166,-352,-211,26.59,130,230,3831,58
1776381113977,2628,-15338,-7111,-265,-368,-354,26.59,130,230,3831,58
1776381113977,2469,-15210,-7643,-329,-284,-410,26.59,130,230,3831,58
1776381113977,2262,-15304,-7990,-348,-308,-389,26.59,130,230,3831,58
1776381113977,1650,-15344,-8066,-340,-454,-341,26.59,130,230,3831,58
1776381114068,735,-15007,-7802,-290,-537,-320,26.58,130,231,3830,58
1776381114090,-671,-14400,-8407,-157,-402,-349,26.58,130,231,3830,58
1776381114108,-781,-14125,-8263,44,-247,-445,26.58,130,231,3830,58
1776381114108,-609,-14061,-7910,170,-186,-491,26.58,130,231,3830,58
1776381114150,-593,-14217,-7485,216,-205,-501,26.58,130,231,3830,58
1776381114150,-607,-13939,-6865,240,-138,-496,26.58,130,231,3830,58
1776381114150,-745,-13827,-6439,226,2,-450,26.58,130,231,3830,58
1776381114191,-1172,-13880,-6134,197,16,-354,26.58,130,231,3830,58
1776381114191,-2112,-14429,-5826,115,-36,-286,26.58,130,231,3830,58
1776381114233,-2650,-14702,-6152,32,-56,-274,26.58,130,231,3830,58
1776381114233,-2980,-14357,-6489,55,14,-299,26.58,130,231,3830,58
1776381114354,-2707,-14566,-6065,159,57,-260,26.58,130,231,3830,58
1776381114354,-2482,-15692,-5212,233,127,-147,26.58,130,231,3830,58
1776381114354,-2210,-16562,-4774,216,198,19,26.58,130,231,3830,58
1776381114354,-2790,-16995,-4688,159,221,178,26.58,130,231,3830,58
1776381114354,-3598,-16978,-4326,110,306,304,26.58,130,231,3830,58
1776381114354,-4241,-17990,-4064,52,490,400,26.58,130,231,3830,58
1776381114354,-4336,-20808,-4321,-27,622,513,26.58,130,231,3830,58
1776381114400,-3852,-22296,-5576,-175,603,684,26.58,130,231,3830,58
1776381114401,-3758,-21154,-7936,-175,453,870,26.58,130,231,3830,58
1776381114442,-4733,-19530,-10407,278,638,937,26.58,130,231,3830,58
1776381114442,-4000,-19879,-9140,837,721,863,26.58,130,231,3830,58
1776381114442,-3077,-19910,-6237,1032,412,887,26.58,130,231,3830,58
1776381114496,-2531,-18897,-4238,933,270,965,26.58,130,231,3830,58
1776381114496,-1167,-17814,-3972,728,390,1050,26.58,130,231,3830,58
1776381114545,688,-16942,-4678,596,569,1184,26.58,130,231,3830,58
1776381114545,2103,-16748,-5399,594,743,1412,26.58,130,231,3830,58
1776381114593,-1326,-15090,-2563,608,751,1539,26.58,130,231,3830,58
1776381114593,-2173,-13704,-1384,295,613,1406,26.58,130,231,3830,58
1776381114639,-1914,-13184,-2092,56,713,1255,26.58,130,231,3830,58
1776381114639,-1617,-14921,-3013,-42,648,1082,26.58,130,231,3830,58
1776381114639,-1451,-16559,-3574,-34,579,927,26.58,130,231,3830,58
1776381114682,-1144,-15865,-3921,81,672,865,26.58,130,231,3830,58
1776381114682,-847,-14395,-4259,246,803,925,26.58,130,231,3830,58
1776381114723,-775,-12985,-4122,384,737,1047,26.58,130,231,3830,58
1776381114723,-1416,-12317,-3391,433,532,1105,26.58,130,231,3830,58
1776381114764,-2082,-12609,-2470,375,364,1044,26.58,130,231,3830,58
1776381114764,-2348,-12987,-2131,261,319,858,26.58,130,231,3830,58
1776381114805,-2174,-12798,-2478,159,304,630,26.58,130,231,3830,58
1776381114805,-1620,-13055,-3478,104,242,433,26.58,130,231,3830,58
1776381114805,-1052,-13566,-4226,122,150,227,26.58,130,231,3830,58
1776381114888,-530,-13866,-4570,214,261,23,26.58,130,231,3830,58
1776381114888,270,-13933,-5510,332,464,-98,26.58,130,231,3830,58
1776381114888,766,-13936,-6028,455,463,-165,26.58,130,231,3830,58
1776381114888,675,-15112,-5873,482,321,-255,26.58,130,231,3830,58
1776381114931,620,-16955,-5600,340,60,-386,26.58,130,231,3830,58
1776381114931,577,-18134,-5441,101,-211,-586,26.58,130,231,3830,58
1776381114978,816,-17973,-6224,-154,-289,-755,26.58,130,231,3830,58
1776381114979,816,-17723,-7017,-314,-284,-896,26.58,130,231,3830,58
1776381114979,781,-18117,-7277,-445,-317,-1007,26.58,130,231,3830,58
1776381115029,722,-18861,-7065,-638,-401,-1164,26.58,130,232,3826,58
1776381115029,212,-18241,-6804,-783,-489,-1323,26.58,130,232,3826,58
1776381115117,121,-16304,-6865,-774,-460,-1367,26.58,130,232,3826,58
1776381115117,642,-14933,-7168,-675,-395,-1340,26.58,130,232,3826,58
1776381115118,1203,-14912,-7282,-633,-413,-1327,26.58,130,232,3826,58
1776381115118,1483,-16100,-7353,-696,-506,-1348,26.58,130,232,3826,58
1776381115159,1447,-16856,-7540,-758,-708,-1375,26.58,130,232,3826,58
1776381115159,1114,-16772,-7535,-766,-889,-1359,26.58,130,232,3826,58
1776381115159,813,-16157,-7349,-713,-1023,-1302,26.58,130,232,3826,58
1776381115253,334,-15279,-6603,-610,-1125,-1242,26.58,130,232,3826,58
1776381115253,94,-15128,-6026,-508,-1131,-1199,26.58,130,232,3826,58
1776381115253,-49,-14754,-5705,-392,-1102,-1177,26.58,130,232,3826,58
1776381115253,-334,-13795,-5319,-223,-1061,-1140,26.58,130,232,3826,58
1776381115297,-738,-13639,-4796,-39,-1004,-1090,26.58,130,232,3826,58
1776381115297,-890,-14182,-3954,97,-966,-1040,26.58,130,232,3826,58
1776381115337,-1152,-14989,-3209,114,-878,-997,26.58,130,232,3826,58
1776381115337,-1645,-15459,-3193,39,-718,-945,26.58,130,232,3826,58
1776381115337,-2354,-15450,-3447,-40,-616,-831,26.58,130,232,3826,58
1776381115378,-3175,-15721,-3582,-109,-578,-686,26.58,130,232,3826,58
1776381115378,-4569,-16548,-4157,-176,-507,-569,26.58,130,232,3826,58
1776381115418,-6071,-16836,-5906,-140,-265,-549,26.58,130,232,3826,58
1776381115418,-6274,-15736,-7386,35,-73,-568,26.58,130,232,3826,58
1776381115459,-5512,-15394,-8073,200,-30,-544,26.58,130,232,3826,58
1776381115459,-4495,-17100,-8055,277,-126,-447,26.58,130,232,3826,58
1776381115543,-3040,-19355,-7907,259,-205,-272,26.58,130,232,3826,58
1776381115543,-1679,-20309,-8030,263,-141,45,26.58,130,232,3826,58
1776381115543,-1930,-19778,-7292,349,-63,369,26.58,130,232,3826,58
1776381115594,-2677,-20145,-6655,347,46,631,26.58,130,232,3826,58
1776381115675,-3134,-21181,-6451,319,125,758,26.58,130,232,3826,58
1776381115675,-3087,-22338,-6515,323,317,704,26.58,130,232,3826,58
1776381115675,-1932,-21322,-5129,250,231,598,26.58,130,232,3826,58
1776381115675,-732,-19129,-4514,59,-81,647,26.58,130,232,3826,58
1776381115675,200,-18154,-3900,-84,-183,719,26.58,130,232,3826,58
1776381115716,1868,-20088,-4406,-256,59,824,26.58,130,232,3826,58
1776381115716,2417,-20487,-5527,-304,152,925,26.58,130,232,3826,58
1776381115716,2551,-18659,-6329,-229,79,1117,26.58,130,232,3826,58
1776381115758,2214,-16756,-6562,7,-76,1330,26.58,130,232,3826,58
1776381115758,1574,-15688,-6035,363,-223,1450,26.58,130,232,3826,58
1776381115800,849,-15319,-4879,707,-222,1409,26.58,130,232,3826,58
1776381115800,314,-15022,-3792,955,-38,1231,26.58,130,232,3826,58
1776381115842,388,-14466,-3265,1062,242,1051,26.58,130,232,3826,58
1776381115842,943,-13946,-3189,1037,318,952,26.58,130,232,3826,58
1776381115883,1645,-14383,-3182,900,204,910,26.58,130,232,3826,58
1776381115883,2331,-14358,-3381,702,78,897,26.58,130,232,3826,58
1776381115883,2487,-13611,-3666,582,125,897,26.58,130,232,3826,58
1776381115966,2844,-12773,-4474,530,335,942,26.58,130,232,3826,58
1776381115966,2850,-11740,-5056,570,483,982,26.58,130,232,3826,58
1776381115966,2491,-11378,-5150,642,536,1013,26.58,130,232,3826,58
1776381116007,2014,-11973,-4918,653,659,970,26.58,130,232,3826,58
1776381116007,1673,-12535,-5181,523,942,844,26.58,130,232,3826,58
1776381116007,1174,-12011,-5766,369,1130,686,26.55,130,233,3826,58
1776381116050,793,-12341,-6146,223,1065,517,26.55,130,233,3826,58
1776381116050,668,-14194,-6443,4,854,275,26.55,130,233,3826,58
1776381116050,796,-15284,-6987,-269,658,-41,26.55,130,233,3826,58
1776381116092,1036,-15512,-7785,-487,572,-360,26.55,130,233,3826,58
1776381116092,1309,-15951,-8489,-598,522,-628,26.55,130,233,3826,58
1776381116174,1523,-17947,-9293,-682,338,-899,26.55,130,233,3826,58
1776381116214,1294,-19872,-9360,-790,15,-1253,26.55,130,233,3826,58
1776381116214,576,-19610,-8764,-747,-140,-1550,26.55,130,233,3826,58
1776381116214,209,-18247,-8242,-498,35,-1663,26.55,130,233,3826,58
1776381116256,967,-17111,-8297,-185,282,-1608,26.55,130,233,3826,58
1776381116256,1634,-16766,-8113,23,261,-1464,26.55,130,233,3826,58
1776381116256,2168,-17288,-7523,41,-64,-1296,26.55,130,233,3826,58
1776381116298,2279,-17361,-6771,-78,-520,-1181,26.55,130,233,3826,58
1776381116298,1850,-16650,-6004,-190,-823,-1136,26.55,130,233,3826,58
1776381116338,1569,-15619,-5491,-207,-832,-1127,26.55,130,233,3826,58
1776381116338,1359,-14717,-4981,-138,-743,-1121,26.55,130,233,3826,58
1776381116379,1328,-14697,-4661,-80,-742,-1100,26.55,130,233,3826,58
1776381116379,1158,-14766,-4196,-66,-859,-1078,26.55,130,233,3826,58
1776381116460,699,-14556,-3626,-76,-877,-1038,26.55,130,233,3826,58
1776381116460,181,-14470,-3679,-114,-780,-961,26.55,130,233,3826,58
1776381116460,-244,-14408,-3735,-134,-818,-868,26.55,130,233,3826,58
1776381116461,-1048,-14846,-3315,-138,-873,-832,26.55,130,233,3826,58
1776381116503,-1783,-15654,-3158,-178,-788,-838,26.55,130,233,3826,58
1776381116503,-2364,-16249,-3339,-250,-607,-824,26.55,130,233,3826,58
1776381116503,-2810,-16157,-3895,-298,-472,-740,26.55,130,233,3826,58
1776381116545,-3476,-16120,-4299,-273,-420,-613,26.55,130,233,3826,58
1776381116545,-4242,-16090,-4655,-179,-353,-435,26.55,130,233,3826,58
1776381116627,-5001,-16088,-4617,-23,-234,-247,26.55,130,233,3826,58
1776381116627,-5355,-16696,-4529,70,-20,-93,26.55,130,233,3826,58
1776381116628,-5825,-17389,-4197,72,260,-12,26.55,130,233,3826,58
1776381116668,-5954,-18537,-4612,-6,472,80,26.55,130,233,3826,58
1776381116668,-5760,-19288,-5354,-56,457,199,26.55,130,233,3826,58
1776381116711,-5209,-19397,-5976,-109,401,392,26.55,130,233,3826,58
1776381116711,-4684,-20026,-6412,-169,277,604,26.55,130,233,3826,58
1776381116752,-4386,-20729,-6497,-198,108,763,26.55,130,233,3826,58
1776381116833,-3940,-20954,-6818,-194,-50,860,26.55,130,233,3826,58
1776381116833,-3085,-20222,-8884,117,211,876,26.55,130,233,3826,58
1776381116833,-2482,-19643,-7208,614,553,795,26.55,130,233,3826,58
1776381116833,-1695,-19283,-3854,821,665,746,26.55,130,233,3826,58
1776381116833,-297,-19955,-3210,516,370,696,26.55,130,233,3826,58
1776381116833,1666,-19366,-3644,274,263,710,26.55,130,233,3826,58
1776381116874,2793,-17566,-3860,244,354,760,26.55,130,233,3826,58
1776381116874,3413,-16275,-3897,302,568,891,26.55,130,233,3826,58
1776381116915,3403,-16617,-3722,259,627,1072,26.55,130,233,3826,58
1776381116915,2807,-16173,-3321,106,449,1224,26.55,130,233,3826,58
1776381116956,1733,-15309,-2829,-49,224,1269,26.55,130,233,3826,58
1776381116956,813,-14157,-2690,-155,134,1231,26.55,130,233,3826,58
1776381116956,293,-13301,-2902,-233,106,1139,26.55,130,233,3826,58
1776381116997,316,-13087,-3349,-299,61,1009,26.55,130,233,3826,58
1776381116997,872,-13622,-3849,-312,-83,845,26.55,130,233,3826,58
1776381117038,1169,-13096,-4249,-257,-45,667,26.53,130,235,3828,58
1776381117038,1575,-12754,-4836,-115,167,554,26.53,130,235,3828,58
1776381117079,1917,-13099,-5420,72,306,495,26.53,130,235,3828,58
1776381117079,2159,-13320,-5575,242,292,456,26.53,130,235,3828,58
1776381117159,2218,-13986,-5438,338,246,401,26.53,130,235,3828,58
1776381117160,2359,-13676,-5598,379,300,356,26.53,130,235,3828,58
1776381117160,2681,-14037,-6139,371,337,339,26.53,130,235,3828,58
1776381117243,2840,-14236,-6457,331,202,299,26.53,130,235,3828,58
1776381117243,2813,-14132,-6585,287,17,233,26.53,130,235,3828,58
1776381117243,2744,-14566,-6990,227,-103,92,26.53,130,235,3828,58
1776381117243,2748,-15015,-7241,171,-114,-104,26.53,130,235,3828,58
1776381117284,2806,-15751,-7548,58,104,-332,26.53,130,235,3828,58
1776381117284,2957,-16194,-8254,-58,347,-508,26.53,130,235,3828,58
1776381117323,3091,-16230,-8793,-190,390,-626,26.53,130,235,3828,58
1776381117323,3153,-17031,-8876,-411,286,-788,26.53,130,235,3828,58
1776381117365,2644,-17901,-8747,-650,257,-1021,26.53,130,235,3828,58
1776381117365,1882,-16905,-8627,-763,275,-1122,26.53,130,235,3828,58
1776381117365,1326,-16041,-8520,-737,298,-1081,26.53,130,235,3828,58
1776381117405,1261,-15563,-8556,-699,284,-987,26.53,130,235,3828,58
1776381117405,1367,-15192,-8582,-719,141,-899,26.53,130,235,3828,58
1776381117446,1341,-14994,-8574,-754,-103,-889,26.53,130,235,3828,58
1776381117446,1214,-14694,-8470,-782,-340,-979,26.53,130,235,3828,58
1776381117485,1066,-15201,-8365,-804,-560,-1128,26.53,130,235,3828,58
1776381117485,1071,-15819,-8463,-837,-671,-1243,26.53,130,235,3828,58
1776381117485,1231,-15360,-8808,-841,-750,-1253,26.53,130,235,3828,58
1776381117564,1081,-14548,-8962,-745,-916,-1196,26.53,130,235,3828,58
1776381117564,571,-14428,-8521,-565,-1119,-1108,26.53,130,235,3828,58
1776381117605,-312,-14748,-7656,-333,-1141,-1013,26.53,130,235,3828,58
1776381117605,-813,-15256,-7109,-129,-998,-901,26.53,130,235,3828,58
1776381117646,-1264,-15108,-6593,62,-876,-846,26.53,130,235,3828,58
1776381117646,-1863,-15130,-6025,180,-804,-790,26.53,130,235,3828,58
1776381117687,-2475,-15194,-5522,223,-743,-734,26.53,130,235,3828,58
1776381117687,-3125,-14566,-5044,210,-649,-689,26.53,130,235,3828,58
1776381117687,-3665,-13961,-4794,165,-580,-613,26.53,130,235,3828,58
1776381117728,-4088,-14376,-5008,42,-577,-497,26.53,130,235,3828,58
1776381117769,-4282,-14932,-5575,-54,-633,-395,26.53,130,235,3828,58
1776381117769,-4413,-15225,-6061,-64,-601,-324,26.53,130,235,3828,58
1776381117769,-4294,-16023,-6344,-64,-499,-247,26.53,130,235,3828,58
1776381117810,-3744,-17188,-6735,-114,-348,-159,26.53,130,235,3828,58
1776381117810,-3150,-18197,-7399,-152,-234,-78,26.53,130,235,3828,58
1776381117851,-2548,-18845,-8227,-85,-97,43,26.53,130,235,3828,58
1776381117851,-2206,-19122,-8754,56,-12,212,26.53,130,235,3828,58
1776381117851,-2330,-19578,-8746,153,-102,385,26.53,130,235,3828,58
1776381117893,-2716,-20094,-8331,166,-166,481,26.53,130,235,3828,58
1776381117893,-2200,-20673,-7597,180,97,491,26.53,130,235,3828,58
1776381117934,-1431,-19624,-7401,154,148,597,26.53,130,235,3828,58
1776381117934,-795,-18590,-7024,143,144,764,26.53,130,235,3828,58
1776381118014,-135,-18182,-6845,132,276,936,26.53,130,235,3828,58
1776381118014,733,-17984,-7030,84,375,1055,26.53,130,235,3828,58
1776381118056,1063,-17341,-7113,30,346,1116,26.55,130,237,3832,58
1776381118057,1016,-17021,-6919,-16,242,1187,26.55,130,237,3832,58
1776381118057,819,-17287,-6784,-67,90,1253,26.55,130,237,3832,58
1776381118099,765,-17075,-6734,-90,-130,1283,26.55,130,237,3832,58
1776381118099,718,-16531,-6813,-22,-382,1244,26.55,130,237,3832,58
1776381118141,665,-15631,-6654,106,-495,1178,26.55,130,237,3832,58
1776381118141,701,-14826,-6560,244,-396,1094,26.55,130,237,3832,58
1776381118182,875,-13953,-6810,391,-280,1021,26.55,130,237,3832,58
1776381118182,926,-13199,-6793,528,-280,960,26.55,130,237,3832,58
1776381118225,781,-12370,-6455,623,-279,928,26.55,130,237,3832,58
1776381118225,641,-12357,-6264,665,-239,914,26.55,130,237,3832,58
1776381118225,539,-12156,-6116,693,-191,873,26.55,130,237,3832,58
1776381118265,405,-11772,-5957,675,-87,804,26.55,130,237,3832,58
1776381118265,408,-11296,-6015,617,29,742,26.55,130,237,3832,58
1776381118308,556,-11170,-6154,536,92,677,26.55,130,237,3832,58
1776381118308,580,-10732,-6214,480,201,597,26.55,130,237,3832,58
1776381118350,784,-10736,-6604,390,371,514,26.55,130,237,3832,58
1776381118350,910,-11230,-7209,263,407,403,26.55,130,237,3832,58
1776381118391,803,-11799,-7631,106,367,251,26.55,130,237,3832,58
1776381118392,668,-12418,-8115,-29,380,77,26.55,130,237,3832,58
1776381118392,557,-13424,-8890,-152,493,-118,26.55,130,237,3832,58
1776381118431,457,-13906,-9803,-263,668,-282,26.55,130,237,3832,58
1776381118512,394,-14077,-10619,-396,795,-386,26.55,130,237,3832,58
1776381118512,631,-14366,-11647,-558,723,-453,26.55,130,237,3832,58
1776381118512,472,-14432,-12172,-676,492,-593,26.55,130,237,3832,58
1776381118553,-7,-14714,-12009,-679,395,-811,26.55,130,237,3832,58
1776381118553,-338,-14325,-12012,-586,536,-998,26.55,130,237,3832,58
1776381118594,-341,-13447,-12005,-445,588,-1142,26.55,130,237,3832,58
1776381118594,-348,-13742,-11149,-312,486,-1288,26.55,130,237,3832,58
1776381118594,-93,-14722,-10436,-258,481,-1477,26.55,130,237,3832,58
1776381118634,485,-15798,-10453,-322,555,-1631,26.55,130,237,3832,58
