timestamp_ms,ax,ay,az,gx,gy,gz,temp_c,steps_hw,steps_sw,bat_mv,bat_soc,hr_bpm,spo2_pct
1777327445927,21005,5225,-4494,-638,832,-1135,25.39,40,69,3918,6,0,0
1777327445927,20502,4157,-4888,-928,865,-1167,25.39,40,69,3918,6,0,0
1777327445927,19701,2971,-5710,-1218,900,-1090,25.39,40,69,3918,6,0,0
1777327445959,19395,2527,-6850,-1415,840,-969,25.39,40,69,3918,6,0,0
1777327445959,19389,1960,-7224,-1519,677,-869,25.39,40,69,3918,6,0,0
1777327446009,19236,289,-7111,-1529,564,-827,25.39,40,69,3918,6,0,0
1777327446009,19776,-1856,-7411,-1474,538,-711,25.39,40,69,3918,6,0,0
1777327446093,21717,-4116,-8780,-1387,499,-417,25.39,40,69,3918,6,0,0
1777327446093,24432,-6046,-10284,-1254,330,-47,25.39,40,69,3918,6,0,0
1777327446093,26494,-7591,-11638,-1044,117,291,25.39,40,69,3918,6,0,0
1777327446093,25270,-8807,-11637,-832,-96,510,25.39,40,69,3918,6,0,0
1777327446093,23523,-9522,-10684,-660,-230,704,25.39,40,69,3918,6,0,0
1777327446143,21253,-9971,-9593,-519,-281,800,25.39,40,69,3918,6,0,0
1777327446143,17871,-10961,-8721,-337,-244,776,25.39,40,69,3918,6,0,0
1777327446176,14214,-11529,-7409,-66,-209,819,25.39,40,69,3918,6,0,0
1777327446176,11295,-11517,-6513,171,-174,904,25.39,40,69,3918,6,0,0
1777327446209,9270,-10873,-5553,321,-162,973,25.39,40,69,3918,6,0,0
1777327446209,6715,-10066,-4535,382,-127,1039,25.39,40,69,3918,6,0,0
1777327446275,4639,-9202,-3857,341,-85,1123,25.39,40,69,3918,6,0,0
1777327446309,2777,-8681,-3453,288,-75,1213,25.39,40,69,3918,6,0,0
1777327446309,2619,-8442,-4070,197,-82,1232,25.39,40,69,3918,6,0,0
1777327446309,3031,-8842,-5002,196,-160,1221,25.39,40,69,3918,6,0,0
1777327446309,4669,-8962,-6488,388,-289,1331,25.39,40,69,3918,6,0,0
1777327446359,7756,-8513,-8351,648,-504,1544,25.39,40,69,3918,6,0,0
1777327446359,11566,-7572,-9939,831,-796,1628,25.39,40,69,3918,6,0,0
1777327446409,15269,-7712,-10247,933,-1072,1547,25.39,40,69,3918,6,0,0
1777327446409,18511,-7288,-10297,1176,-1209,1589,25.39,40,69,3918,6,0,0
1777327446442,21582,-5290,-10118,1576,-1204,1656,25.39,40,69,3918,6,0,0
1777327446442,25892,-3557,-10585,1860,-1041,1237,25.39,40,69,3918,6,0,0
1777327446442,29773,-2551,-11177,2119,-898,622,25.39,40,69,3918,6,0,0
