timestamp_ms,ecg_raw
1777323693125,2324
1777323693127,2306
1777323693129,2290
1777323693131,2280
1777323693133,2282
1777323693135,2301
1777323693137,2331
1777323693139,2363
1777323693141,2390
1777323693143,2408
1777323693125,2451
1777323693127,2558
1777323693129,2452
1777323693131,2460
1777323693133,2412
1777323693135,2408
1777323693137,2428
1777323693139,2441
1777323693141,2441
1777323693143,2421
1777323693157,2387
1777323693159,2350
1777323693161,2315
1777323693163,2303
1777323693165,2322
1777323693167,2366
1777323693169,2424
1777323693171,2474
1777323693173,2501
1777323693175,2501
1777323693157,2675
1777323693159,2444
1777323693161,2450
1777323693163,2443
1777323693165,2349
1777323693167,2347
1777323693169,2374
1777323693171,2400
1777323693173,2418
1777323693175,2418
1777323693212,2397
1777323693214,2374
1777323693216,2346
1777323693218,2327
1777323693220,2331
1777323693222,2351
1777323693224,2375
1777323693226,2401
1777323693228,2408
1777323693230,2412
1777323693212,2439
1777323693214,2529
1777323693216,2414
1777323693218,2410
1777323693220,2355
1777323693222,2344
1777323693224,2371
1777323693226,2400
1777323693228,2421
1777323693230,2426
1777323693247,2415
1777323693249,2392
1777323693251,2369
1777323693253,2358
1777323693255,2367
1777323693257,2387
1777323693259,2413
1777323693261,2436
1777323693263,2446
1777323693265,2450
1777323693247,2562
1777323693249,2485
1777323693251,2443
1777323693253,2437
1777323693255,2406
1777323693257,2401
1777323693259,2433
1777323693261,2465
1777323693263,2484
1777323693265,2491
1777323693247,2479
1777323693249,2457
1777323693251,2429
1777323693253,2409
1777323693255,2402
1777323693257,2412
1777323693259,2439
1777323693261,2477
1777323693263,2510
1777323693265,2537
1777323693308,2605
1777323693310,2731
1777323693312,2656
1777323693314,2653
1777323693316,2847
1777323693318,2902
1777323693320,3093
1777323693322,3307
1777323693324,3519
1777323693326,3704
1777323693308,3839
1777323693310,3896
1777323693312,3870
1777323693314,3774
1777323693316,3661
1777323693318,3548
1777323693320,3428
1777323693322,3279
1777323693324,3107
1777323693326,2941
1777323693340,2982
1777323693342,2634
1777323693344,2545
1777323693346,2441
1777323693348,2305
1777323693350,2264
1777323693352,2279
1777323693354,2324
1777323693356,2382
1777323693358,2425
1777323693340,2445
1777323693342,2444
1777323693344,2436
1777323693346,2442
1777323693348,2455
1777323693350,2474
1777323693352,2493
1777323693354,2504
1777323693356,2503
1777323693358,2492
1777323693382,2507
1777323693384,2591
1777323693386,2470
1777323693388,2465
1777323693390,2414
1777323693392,2410
1777323693394,2437
1777323693396,2475
1777323693398,2497
1777323693400,2501
1777323693382,2487
1777323693384,2460
1777323693386,2428
1777323693388,2409
1777323693390,2411
1777323693392,2430
1777323693394,2462
1777323693396,2494
1777323693398,2517
1777323693400,2529
1777323693436,2714
1777323693438,2498
1777323693440,2528
1777323693442,2543
1777323693444,2467
1777323693446,2480
1777323693448,2512
1777323693450,2547
1777323693452,2570
1777323693454,2579
1777323693436,2572
1777323693438,2556
1777323693440,2537
1777323693442,2521
1777323693444,2523
1777323693446,2540
1777323693448,2568
1777323693450,2599
1777323693452,2618
1777323693454,2624
1777323693436,2655
1777323693438,2749
1777323693440,2629
1777323693442,2601
1777323693444,2599
1777323693446,2590
1777323693448,2627
1777323693450,2667
1777323693452,2692
1777323693454,2703
1777323693472,2697
1777323693474,2671
1777323693476,2654
1777323693478,2639
1777323693480,2641
1777323693482,2662
1777323693484,2691
1777323693486,2724
1777323693488,2746
1777323693490,2754
1777323693472,2946
1777323693474,2736
1777323693476,2776
1777323693478,2803
1777323693480,2727
1777323693482,2738
1777323693484,2771
1777323693486,2807
1777323693488,2833
1777323693490,2847
1777323693531,2843
1777323693533,2836
1777323693535,2820
1777323693537,2804
1777323693539,2808
1777323693541,2834
1777323693543,2865
1777323693545,2899
1777323693547,2918
1777323693549,2928
1777323693531,2958
1777323693533,3052
1777323693535,2927
1777323693537,2921
1777323693539,2860
1777323693541,2846
1777323693543,2862
1777323693545,2882
1777323693547,2890
1777323693549,2887
1777323693563,2867
1777323693565,2832
1777323693567,2797
1777323693569,2763
1777323693571,2750
1777323693573,2750
1777323693575,2757
1777323693577,2777
1777323693579,2776
1777323693581,2759
1777323693563,2927
1777323693565,2684
1777323693567,2697
1777323693569,2692
1777323693571,2595
1777323693573,2581
1777323693575,2580
1777323693577,2586
1777323693579,2587
1777323693581,2572
1777323693660,2541
