timestamp_ms,red,ir
12510,116965,142576
12510,116969,142603
12600,116970,142604
12600,116932,142522
12600,116523,141405
12690,116457,141256
12690,116662,141783
12780,116784,142116
12780,116843,142265
12780,116869,142357
12915,116883,142389
12915,116890,142399
13005,116888,142423
13005,116904,142457
13005,116906,142501
13095,116912,142515
13095,116921,142529
13185,116926,142556
13185,116933,142580
13185,116931,142584
13275,116931,142604
13275,116943,142622
13410,116930,142588
13410,116596,141709
13500,116389,141139
13500,116588,141682
13500,116746,142079
13590,116815,142270
13590,116843,142371
13680,116858,142381
13680,116861,142434
13680,116868,142461
13815,116869,142456
13815,116884,142533
13905,116873,142579
13905,116884,142580
13905,116895,142593
13998,116897,142616
13998,116903,142621
14085,116883,142641
14085,116907,142659
14085,116901,142670
14175,116815,142501
14175,116496,141547
14310,116602,141748
14310,116742,142215
14310,116798,142369
14400,116845,142434
14400,116824,142483
14490,116842,142512
14490,116842,142539
14490,116836,142555
14580,116850,142590
14580,116864,142619
14715,116867,142640
14715,116893,142667
14715,116883,142667
14805,116892,142692
14805,116889,142714
14895,116900,142727
14895,116904,142727
14895,116891,142705
14985,116672,142122
14985,116443,141520
15075,116637,142050
15075,116747,142328
15075,116780,142442
15210,116813,142505
15210,116824,142542
15300,116830,142573
15300,116843,142590
15300,116845,142611
15390,116850,142645
15390,116857,142669
15480,116860,142679
15480,116864,142689
15480,116870,142709
15615,116874,142725
15615,116876,142730
15705,116871,142746
15705,116879,142752
15705,116796,142522
15795,116425,141565
15795,116525,141822
15885,116697,142257
15885,116762,142424
15885,116788,142504
15975,116808,142565
15975,116825,142588
16110,116824,142623
16110,116832,142640
16110,116833,142662
16200,116844,142672
16200,116842,142691
16290,116842,142722
16290,116848,142734
16290,116839,142756
16380,116855,142749
16380,116846,142750
16515,116840,142743
16515,116835,142762
16515,116768,142586
16605,116539,141968
16605,116622,142192
16695,116714,142429
16695,116743,142514
16695,116762,142558
16785,116786,142605
16785,116777,142630
16875,116796,142646
16875,116795,142678
16875,116792,142688
17010,116805,142715
17010,116805,142729
17100,116811,142737
17100,116830,142760
17100,116819,142773
17190,116818,142780
17190,116824,142793
17280,116837,142806
17280,116838,142808
17280,116744,142513
17415,116683,142334
17415,116785,142635
17505,116823,142727
17505,116838,142777
17505,116839,142788
17595,116845,142792
17595,116844,142829
17685,116839,142776
17685,116833,142815
17685,116845,142835
17775,116828,142872
17775,116857,142865
17910,116844,142888
17910,116867,142907
17910,116886,142933
18000,116886,142932
18000,116874,142922
18090,116826,142874
18090,116797,142714
18090,116813,142742
18180,116841,142830
18180,116877,142886
18315,116925,142928
18315,116906,142960
18315,116909,142967
18405,116929,142987
18405,116883,142946
18495,116861,142915
18495,116831,142878
18495,116820,142862
18585,116812,142855
18585,116813,142859
18675,116836,142884
18675,116838,142898
18675,116828,142894
18810,116785,142781
18810,116732,142649
18900,116755,142739
18900,116801,142809
18900,116811,142834
18990,116822,142844
18990,116829,142863
19080,116824,142864
19080,116831,142873
19080,116834,142886
19215,116839,142893
19215,116830,142902
19305,116828,142909
19305,116841,142927
19305,116848,142936
19395,116831,142913
19395,116843,142913
19485,116773,142764
19485,116682,142540
19485,116757,142689
19575,116779,142773
19575,116793,142810
19710,116798,142832
19710,116786,142820
19710,116786,142839
19800,116773,142835
19800,116783,142849
19890,116783,142844
19890,116805,142876
19890,116808,142889
19980,116818,142907
19980,116825,142924
20115,116825,142933
20115,116829,142941
20115,116790,142846
20205,116624,142394
20205,116684,142541
20295,116753,142724
20295,116784,142783
20295,116773,142820
20385,116799,142828
20385,116780,142841
20475,116789,142840
20475,116802,142863
20475,116792,142856
20610,116802,142885
20610,116798,142893
20700,116804,142905
20700,116797,142910
20700,116808,142924
20790,116806,142932
20790,116808,142913
20880,116622,142446
20880,116411,141863
20880,116598,142355
21060,116682,142575
21060,116705,142664
21105,116725,142694
21105,116734,142738
21105,116737,142759
21195,116749,142780
21195,116770,142811
21285,116781,142830
21285,116769,142864
21375,116782,142852
21375,116795,142906
21375,116794,142912
21510,116797,142892
21510,116790,142910
21600,116700,142663
21600,116279,141534
21600,116410,141855
21735,116613,142379
21735,116670,142591
21780,116692,142689
21780,116706,142701
21780,116714,142720
21915,116715,142787
21915,116742,142783
22005,116728,142805
22005,116744,142823
22005,116747,142856
22095,116726,142849
22095,116754,142875
22185,116751,142890
22185,116753,142881
22185,116363,141763
22275,116183,141213
22275,116423,141921
22413,116627,142457
22413,116694,142637
22413,116727,142731
22500,116750,142793
22500,116767,142817
22590,116772,142852
22590,116789,142904
22590,116794,142921
22680,116788,142926
22680,116793,142949
22815,116790,142948
22815,116787,142958
22815,116566,142352
22905,116063,141037
22905,116201,141351
22995,116485,142101
22995,116635,142503
22995,116683,142646
23085,116693,142712
23085,116699,142728
23175,116708,142749
23175,116704,142788
23175,116734,142833
23310,116741,142858
23310,116742,142875
23400,116745,142906
23400,116748,142902
23400,116412,141975
23490,115981,140875
23490,116117,141194
23580,116394,141917
23580,116569,142399
23580,116649,142596
23715,116665,142666
23715,116661,142690
23805,116675,142722
23805,116689,142778
23805,116707,142813
23895,116716,142853
23895,116726,142884
23985,116730,142897
23985,116718,142876
23985,116296,141731
24075,115943,140828
24075,116098,141229
24210,116385,141967
24210,116544,142407
24210,116613,142589
24300,116627,142658
24300,116636,142664
24390,116650,142699
24390,116676,142777
24390,116695,142830
24480,116714,142867
24480,116713,142890
24615,116715,142908
24615,116715,142918
24615,116299,141800
24705,115834,140563
24705,115863,140629
24795,116084,141210
24795,116322,141826
24795,116502,142320
24885,116565,142497
24885,116578,142529
24975,116593,142551
24975,116613,142642
24975,116638,142723
25110,116672,142778
25110,116667,142816
25200,116686,142843
25200,116689,142863
25200,116694,142899
25290,116701,142882
25290,116225,141601
25380,115731,140326
25380,115754,140373
25380,115939,140813
25515,116131,141318
25515,116387,142013
25605,116515,142328
25605,116516,142368
25605,116528,142408
25695,116576,142511
25695,116611,142649
25785,116627,142705
25785,116652,142765
25785,116667,142789
25875,116653,142855
25875,116682,142854
26010,116684,142867
26010,116690,142899
26010,116708,142917
26100,116699,142939
26100,116700,142941
26190,116192,141589
26190,115804,140540
26190,115880,140737
26280,116094,141259
26280,116289,141791
26415,116487,142304
26415,116545,142484
26415,116550,142502
26505,116567,142553
26505,116591,142647
26595,116614,142729
26595,116642,142780
26595,116636,142806
26685,116654,142835
26685,116663,142850
26775,116664,142868
26775,116680,142881
26775,116682,142911
26910,116675,142914
26910,116687,142937
27000,116683,142950
27000,116588,142721
27000,115985,141078
27090,115973,141035
27090,116247,141730
27180,116470,142342
27180,116551,142589
27180,116580,142672
27315,116576,142692
27315,116574,142696
27405,116599,142749
27405,116605,142773
27405,116613,142823
27495,116626,142832
27495,116616,142848
27585,116624,142865
27585,116626,142881
27585,116623,142899
27675,116625,142898
27675,116635,142919
27810,116638,142932
27810,116628,142943
27810,116565,142708
27900,116035,141293
27900,116103,141480
28035,116402,142258
28035,116527,142591
28035,116565,142700
28080,116579,142750
28080,116598,142772
28215,116595,142787
28215,116600,142827
28215,116604,142855
28305,116625,142885
28305,116632,142905
28395,116641,142929
28395,116644,142924
28395,116643,142960
28485,116653,142973
28485,116664,142986
28576,116672,143015
28576,116680,143032
28576,116666,143014
28710,116295,141972
28710,116049,141327
28800,116293,141975
28800,116517,142556
28800,116585,142737
28890,116605,142813
28890,116602,142833
28980,116613,142853
28980,116614,142876
28980,116627,142914
29115,116637,142933
29115,116641,142958
29205,116649,142970
29205,116654,142987
29205,116657,143009
29295,116663,143025
29295,116667,143037
29385,116664,143047
29385,116673,143057
29475,116670,143039
29475,116578,142842
29475,116142,141643
29610,116246,141902
29610,116484,142544
29700,116554,142713
29700,116568,142794
29700,116585,142845
29790,116590,142832
29790,116590,142885
29880,116593,142915
29880,116593,142916
29880,116612,142939
